title,detail_url,timeShow,platformName
TZYS-201939000000000000000关于台州市生态环境局临海分局临海市行政区域风险评估报告及临海市突发环境事件等4个应急预案编制项目项目的合同,http://www.ggzy.gov.cn/information/html/a/330000/0203/202004/28/00337cadfd4226b5436f9becaf9bf8708372.shtml,2020-04-28,台州市公共资源交易系统
ZJHY-NHCG20190450000000000关于宁海科创集团有限公司路灯采购及安装项目的合同,http://www.ggzy.gov.cn/information/html/a/330000/0203/202004/28/0033a5fda2a3ef2942a0b97c063fd49469dc.shtml,2020-04-28,浙江政府采购云平台
ZXZB-F20191024-03000000000关于温州市“十四五”增强水资源保障能力研究的合同,http://www.ggzy.gov.cn/information/html/a/330000/0203/202004/28/00331879dc1c5d3d462d8a5db7e059a2f0a9.shtml,2020-04-28,温州市公共资源交易平台
第七师2020年度土地审批项目前期勘测定界、地价评估技术服务机构采购项目变更公告,http://www.ggzy.gov.cn/information/html/a/660000/0204/202004/28/006684062e5991b144dbabf5f78523b95575.shtml,2020-04-28,新疆生产建设兵团公共资源交易中心
2020年沧州市干线公路大中修工程第三方检测,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/0013ee2a4b9f97a34d8c96e1471960c95f4e.shtml,2020-04-28,
招标文件422,http://www.ggzy.gov.cn/information/html/a/430000/0105/202004/28/0043197b3711b9924b5fb091d58b2fd95687.shtml,2020-04-28,
大连市技师学院迁址重建二期项目13#、14#单体外环境施工,http://www.ggzy.gov.cn/information/html/a/210000/0104/202004/28/0021187db33a67664d40b11a203711df130b.shtml,2020-04-28,大连市公共资源交易平台
元氏县龙兴大道县域经济带封龙山文化经济建设项目·太行山高速引线-设计施工总承包公开招标中标公告,http://www.ggzy.gov.cn/information/html/a/130000/0104/202004/28/0013e88710a03c154004b322320234f90e58.shtml,2020-04-28,
合作市裕佳苑公共停车场建设项目正常公示,http://www.ggzy.gov.cn/information/html/a/620000/0104/202004/28/0062f9195b61b58a41208df38ac70f25cc88.shtml,2020-04-28,甘南州公共资源交易中心电子招投标系统
报纸广告发布,http://www.ggzy.gov.cn/information/html/a/420000/0203/202004/28/0042fc312bb9b6e74c63aea1a1bff562f892.shtml,2020-04-28,湖北省政府采购网
泄滩乡九条岭村农业产业发展项目苗木采购合同,http://www.ggzy.gov.cn/information/html/a/420000/0203/202004/28/00421526757b7641428ca88a3875dfd465de.shtml,2020-04-28,湖北省政府采购网
Z1306332000322301太平峪及华北村基础设施建设项目结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013d297f33abeed4c928edaa8810baa2046.shtml,2020-04-28,
Z13020720005223012020年王兰庄镇农村街道提升工程—翻新道路结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013f86641be515846249ff558b9666a76f4.shtml,2020-04-28,唐山市公共资源交易中心
阜平县照旺台回迁安置房建设项目（1#、2#、3#地块）二标段工程材料检测试验服务,http://www.ggzy.gov.cn/information/html/a/130000/0102/202004/28/0013fbdb8f99f6f04143a25f76d1b02e6767.shtml,2020-04-28,
涞水县农村无害化卫生户厕改造项目,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/0013f9405aaf3d5448b9a754ba2e5ca444b6.shtml,2020-04-28,
涞水县农村无害化卫生户厕改造项目,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/0013dd4fdfa7b19541b4adadb571c8437530.shtml,2020-04-28,
涞水县农村无害化卫生户厕改造项目,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/001345c04fb8c3a14ea183235381e94c7ebf.shtml,2020-04-28,
涞水县农村无害化卫生户厕改造项目,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/00130e8db7420db64eb3bab5adc79cd5c838.shtml,2020-04-28,
涞水县农村无害化卫生户厕改造项目,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/00132267478b2c74469a857e0d342dae8021.shtml,2020-04-28,
六盘水师范学院学生、招就、团委等电子设备配备及学生、招就、团委、物电四部门搬迁物资配备采购项目（A包、B包二次采购）中标（成交）公告,http://www.ggzy.gov.cn/information/html/a/520000/0202/202004/23/0052c93693c48cf940fb99ac6ce148171566.shtml,2020-04-28,六盘水市公共资源交易中心
Z1309862000132001南大港产业园区2020年度清洁能源取暖燃气壁挂炉采购项目结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013a99686c0b336490092557e84ff42462d.shtml,2020-04-28,
恩施州普通公路“建养一体化”利川市01项目包施工监理,http://www.ggzy.gov.cn/information/html/a/420000/0101/202004/28/004248628e3f73f4416289aa24099a4e49a2.shtml,2020-04-28,恩施州电子交易平台
Z1309002000322001沧州经济开发区综合行政执法局雪橇式提升泵项目结果公告,http://www.ggzy.gov.cn/information/html/a/130000/0202/202004/28/0013c07c1f7187784cfa9d913c78b4a387bd.shtml,2020-04-28,
2020年沧州市干线公路大中修工程第三方检测,http://www.ggzy.gov.cn/information/html/a/130000/0105/202004/28/0013523a68dbb87c431ea7eb4cd8cb4077e4.shtml,2020-04-28,
黄冈产业园融创星城、黄冈产业园综合性服务平台综合服务(物业及后勤管理)外包项目公告,http://www.ggzy.gov.cn/information/html/a/420000/9001/202004/28/004245944552b5bc41db8d1f3b382df2c5bc.shtml,2020-04-28,黄冈市公共资源交易信息网
