title,score,info
指环王2：双塔奇兵,9.0,承前启后的史诗篇章。
教父2,9.1,优雅的孤独。
海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。
指环王1：魔戒再现,8.9,传说的开始。
饮食男女,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
素媛,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
美丽心灵,8.9,爱是一切逻辑和原由。
末代皇帝,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
情书,8.9,暗恋的极致。
狮子王,8.9,动物版《哈姆雷特》。
钢琴家,9.1,音乐能化解仇恨。
美国往事,9.1,往事如烟，无处祭奠。
小鞋子,9.2,奔跑的孩子是天使。
本杰明·巴顿奇事,8.8,在时间之河里感受溺水之苦。
七宗罪,8.8,警察抓小偷，老鼠玩死猫。
西西里的美丽传说,8.8,美丽无罪。
致命魔术,8.8,孪生蝙蝠侠大战克隆金刚狼。
被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。
黑客帝国,8.9,视觉革命。
让子弹飞,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
看不见的客人,8.7,你以为你以为的就是你以为的。
拯救大兵瑞恩,8.9,美利坚精神输出大片No1.
音乐之声,8.9,用音乐化解仇恨，让歌声串起美好。
大闹天宫,9.3,经典之作，历久弥新。
天使爱美丽,8.7,法式小清新。
低俗小说,8.8,故事的高级讲法。
哈利·波特与魔法石,8.8,童话世界的开端。
勇敢的心,8.8,史诗大片的典范。
剪刀手爱德华,8.7,浪漫忧郁的成人童话。
沉默的羔羊,8.8,安东尼·霍普金斯的顶级表演。
蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。
寻梦环游记,9.0,死亡不是真的逝去，遗忘才是永恒的消亡。
春光乍泄,8.9,爱情纠缠，男女一致。
心灵捕手,8.8,人生中应该拥有这样的一段豁然开朗。
猫鼠游戏,8.8,骗子大师和执著警探的你追我跑故事。
入殓师,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
布达佩斯大饭店,8.8,小清新的故事里注入了大历史的情怀。
禁闭岛,8.7,昔日翩翩少年，今日大腹便便。
幽灵公主,8.8,人与自然的战争史诗。
阳光灿烂的日子,8.8,一场华丽的意淫。
玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。
穿条纹睡衣的男孩,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
第六感,8.8,深入内心的恐怖，出人意料的结局。
重庆森林,8.7,寂寞没有期限。
狩猎,9.1,人言可畏。
致命ID,8.7,最不可能的那个人永远是最可能的。
断背山,8.7,每个人心中都有一座断背山。
加勒比海盗,8.7,约翰尼·德普的独角戏。
阿凡达,8.6,绝对意义上的美轮美奂。
摩登时代,9.2,大时代中的人生，小人物的悲喜。
大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
告白,8.7,没有一人完全善，也没有一人完全恶。
一一,9.0,我们都曾经是一一。
射雕英雄传之东成西就,8.7,百看不厌。
阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。
甜蜜蜜,8.8,相逢只要一瞬间，等待却像是一辈子。
消失的爱人,8.7,年度最佳date movie。
爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。
喜剧之王,8.6,我是一个演员。
上帝之城,8.9,被上帝抛弃了的上帝之城。
小森林 夏秋篇,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。
侧耳倾听,8.8,少女情怀总是诗。
倩女幽魂,8.7,两张绝世的脸。
风之谷,8.8,动画片的圣经。
恐怖直播,8.7,恐怖分子的“秋菊打官司”。
红辣椒,8.9,梦的勾结。
超脱,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。
爱在日落黄昏时,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
驯龙高手,8.7,和谐的生活离不开摸头与被摸头。
幸福终点站,8.7,有时候幸福需要等一等。
请以你的名字呼唤我,8.8,沉醉在电影的情感和视听氛围中无法自拔。
杀人回忆,8.7,关于连环杀人悬案的集体回忆。
神偷奶爸,8.5,Mr. I Don't Care其实也有Care的时候。
借东西的小人阿莉埃蒂,8.7,曾经的那段美好会沉淀为一辈子的记忆。
哈利·波特与死亡圣器(下),8.7,10年的完美句点。
小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
七武士,9.2,时代悲歌。
岁月神偷,8.6,岁月流逝，来日可追。
怪兽电力公司,8.6,不要给它起名字，起了名字就有感情了。
7号房的礼物,8.8,《我是山姆》的《美丽人生》。
真爱至上,8.5,爱，是个动词。
谍影重重3,8.7,像吃了苏打饼一样干脆的电影。
电锯惊魂,8.7,真相就在眼前。
萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。
萤火之森,8.8,触不到的恋人。
疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。
东邪西毒,8.6,电影诗。
喜宴,8.8,中国家庭的喜怒哀乐忍。
超能陆战队,8.6,Balalala~~~
贫民窟的百万富翁,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
唐伯虎点秋香,8.5,华太师是黄霑，吴镇宇四大才子之一。
蝙蝠侠：黑暗骑士崛起,8.6,诺兰就是保证。
记忆碎片,8.6,一个针管引发的血案。
黑天鹅,8.5,黑暗之美。
英雄本色,8.6,英雄泪短，兄弟情长。
心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
傲慢与偏见,8.5,爱是摈弃傲慢与偏见之后的曙光。
无人知晓,9.1,我的平常生活就是他人的幸福。
荒蛮故事,8.8,始于荒诞，止于更荒诞。
卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。
纵横四海,8.7,香港浪漫主义警匪动作片的巅峰之作。
血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
时空恋旅人,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
教父3,8.8,任何信念的力量，都无法改变命运。
海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。
玩具总动员3,8.8,跨度十五年的欢乐与泪水。
海洋,9.0,大海啊，不全是水。
花样年华,8.6,偷情本没有这样美。
完美的世界,9.0,坏人的好总是比好人的好来得更感人。
达拉斯买家俱乐部,8.7,Jared Leto的腿比女人还美！
虎口脱险,8.9,永远看不腻的喜剧。
恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
你看起来好像很好吃,8.8,感情不分食草或者食肉。
燃情岁月,8.7,传奇，不是每个人都可以拥有。
二十二,8.7,有一些东西不应该被遗忘。
雨中曲,9.0,骨灰级歌舞片。
冰川时代,8.5,松鼠才是角儿。
我是山姆,8.8,爱并不需要智商 。
穿越时空的少女,8.6,爱上未来的你。
魂断蓝桥,8.8,中国式内在的美国电影。
头脑特工队,8.7,愿我们都不用长大，每一座城堡都能永远存在。
被解救的姜戈,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。
猜火车,8.5,不可猜的青春迷笛。
人工智能,8.6,对爱的执着，可以超越一切。
爆裂鼓手,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。
你的名字。,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
未麻的部屋,8.9,好的剧本是，就算你猜到了结局也猜不到全部。
罗生门,8.7,人生的N种可能性。
模仿游戏,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。
